Source ,Source Airport,Destination,Destination Airport,Weight
94,General Mitchell Intll,109,General Edward Lawrence Logan,0.0863
109,General Edward Lawrence Logan,161,James M Cox Dayton Intl,0.0713
109,General Edward Lawrence Logan,159,Port Columbus Intl,0.0647
109,General Edward Lawrence Logan,307,Southwest Florida Intl,0.1608
95,Greater Buffalo Intl,109,General Edward Lawrence Logan,0.0398
109,General Edward Lawrence Logan,212,Norfolk Intl,0.0586
92,Syracuse Hancock Intl,109,General Edward Lawrence Logan,0.027
91,Greater Rochester Intl,109,General Edward Lawrence Logan,0.0348
109,General Edward Lawrence Logan,202,Richmond Intll,0.0565
80,Portland Intl Jetport,109,General Edward Lawrence Logan,0.0128
109,General Edward Lawrence Logan,273,Savannah Intll,0.1108
118,Chicago O'hare Intl,147,Newark Intl,0.0711
147,Newark Intl,248,Los Angeles Intl,0.2344
147,Newark Intl,201,San Francisco Intl,0.2472
147,Newark Intl,150,John F Kennedy Intl,0.002
147,Newark Intl,311,Miami Intl,0.1457
146,La Guardia,147,Newark Intl,0.0017
147,Newark Intl,258,Phoenix Sky Harbor Intl,0.2049
147,Newark Intl,182,Lambert-St Louis Intl,0.0845
67,Minneapolis-St Paul Intl/Wold-,147,Newark Intl,0.105
147,Newark Intl,219,Mc Carran Intl,0.2134
147,Newark Intl,299,Orlando Intl,0.1226
147,Newark Intl,152,Pittsburgh Intll,0.031
147,Newark Intl,293,Houston Intercontinental,0.1487
47,Seattle-Tacoma Intl,147,Newark Intl,0.2535
147,Newark Intl,301,Tampa Intl,0.1288
147,Newark Intl,177,Washington Dulles Intl,0.0237
147,Newark Intl,221,Raleigh-Durham Intll,0.0517
147,Newark Intl,310,Fort Lauderdale/Hollywood Intl,0.143
147,Newark Intl,232,Memphis Intl,0.097
147,Newark Intl,321,Luis Munoz Marin Intl,0.2166
123,Chicago Midway,147,Newark Intl,0.07
147,Newark Intl,172,Kansas City Intl,0.1055
147,Newark Intl,292,New Orleans Intl/Moisant Fld/,0.131
147,Newark Intl,167,Indianapolis Intl,0.0625
147,Newark Intl,306,Palm Beach Intl,0.1372
94,General Mitchell Intll,147,Newark Intl,0.0733
147,Newark Intl,307,Southwest Florida Intl,0.1406
147,Newark Intl,284,Jacksonville Intl,0.1047
147,Newark Intl,212,Norfolk Intl,0.0378
92,Syracuse Hancock Intl,147,Newark Intl,0.0251
91,Greater Rochester Intl,147,Newark Intl,0.0293
125,Theodore Francis Green State,147,Newark Intl,0.0171
147,Newark Intl,305,Sarasota/Bradenton Intl,0.134
147,Newark Intl,202,Richmond Intll,0.0344
147,Newark Intl,218,Piedmont Triad Intll,0.0528
99,Kent County Intl,147,Newark Intl,0.0616
147,Newark Intl,322,Cyril E King,0.2187
80,Portland Intl Jetport,147,Newark Intl,0.0344
143,Long Island Mac Arthur,147,Newark Intl,0.0055
147,Newark Intl,273,Savannah Intll,0.0893
96,Manchester,147,Newark Intl,0.0255
147,Newark Intl,300,Melbourne Intll,0.1247
147,Newark Intl,153,Yampa Valley,0.1684
147,Newark Intl,324,Mercedita,0.2201
201,San Francisco Intl,258,Phoenix Sky Harbor Intl,0.0662
182,Lambert-St Louis Intl,258,Phoenix Sky Harbor Intl,0.1214
152,Pittsburgh Intll,258,Phoenix Sky Harbor Intl,0.1754
47,Seattle-Tacoma Intl,258,Phoenix Sky Harbor Intl,0.1437
144,Salt Lake City Intl,258,Phoenix Sky Harbor Intl,0.0702
258,Phoenix Sky Harbor Intl,263,San Diego Intl-Lindbergh Fld,0.0271
203,San Jose Intll,258,Phoenix Sky Harbor Intl,0.0629
258,Phoenix Sky Harbor Intl,297,San Antonio Intl,0.0784
253,John Wayne Airport-Orange Coun,258,Phoenix Sky Harbor Intl,0.0299
183,Sacramento Metropolitan,258,Phoenix Sky Harbor Intl,0.0701
169,Reno/Tahoe Intll,258,Phoenix Sky Harbor Intl,0.0701
216,Tulsa Intl,258,Phoenix Sky Harbor Intl,0.0862
258,Phoenix Sky Harbor Intl,274,Tucson Intl,0.0137
250,Palm Springs Regional,258,Phoenix Sky Harbor Intl,0.0232
258,Phoenix Sky Harbor Intl,264,Yuma Mcas/Yuma Intl,0.0151
112,Detroit Metropolitan Wayne Cou,118,Chicago O'hare Intl,0.0233
112,Detroit Metropolitan Wayne Cou,248,Los Angeles Intl,0.1952
112,Detroit Metropolitan Wayne Cou,201,San Francisco Intl,0.2035
112,Detroit Metropolitan Wayne Cou,150,John F Kennedy Intl,0.051
112,Detroit Metropolitan Wayne Cou,311,Miami Intl,0.1577
112,Detroit Metropolitan Wayne Cou,146,La Guardia,0.0502
112,Detroit Metropolitan Wayne Cou,147,Newark Intl,0.049
112,Detroit Metropolitan Wayne Cou,258,Phoenix Sky Harbor Intl,0.1684
112,Detroit Metropolitan Wayne Cou,182,Lambert-St Louis Intl,0.0487
67,Minneapolis-St Paul Intl/Wold-,112,Detroit Metropolitan Wayne Cou,0.0563
112,Detroit Metropolitan Wayne Cou,219,Mc Carran Intl,0.1723
112,Detroit Metropolitan Wayne Cou,299,Orlando Intl,0.1321
112,Detroit Metropolitan Wayne Cou,152,Pittsburgh Intll,0.0229
112,Detroit Metropolitan Wayne Cou,293,Houston Intercontinental,0.1319
112,Detroit Metropolitan Wayne Cou,162,Philadelphia Intl,0.047
47,Seattle-Tacoma Intl,112,Detroit Metropolitan Wayne Cou,0.2046
112,Detroit Metropolitan Wayne Cou,144,Salt Lake City Intl,0.1464
112,Detroit Metropolitan Wayne Cou,263,San Diego Intl-Lindbergh Fld,0.1947
112,Detroit Metropolitan Wayne Cou,301,Tampa Intl,0.1362
112,Detroit Metropolitan Wayne Cou,177,Washington Dulles Intl,0.0434
112,Detroit Metropolitan Wayne Cou,221,Raleigh-Durham Intll,0.0649
112,Detroit Metropolitan Wayne Cou,310,Fort Lauderdale/Hollywood Intl,0.1552
112,Detroit Metropolitan Wayne Cou,232,Memphis Intl,0.0764
112,Detroit Metropolitan Wayne Cou,296,William P Hobby,0.1346
112,Detroit Metropolitan Wayne Cou,123,Chicago Midway,0.0228
112,Detroit Metropolitan Wayne Cou,172,Kansas City Intl,0.0643
112,Detroit Metropolitan Wayne Cou,292,New Orleans Intl/Moisant Fld/,0.122
112,Detroit Metropolitan Wayne Cou,203,San Jose Intll,0.2019
65,Portland Intl,112,Detroit Metropolitan Wayne Cou,0.2025
112,Detroit Metropolitan Wayne Cou,167,Indianapolis Intl,0.0282
112,Detroit Metropolitan Wayne Cou,306,Palm Beach Intl,0.1493
112,Detroit Metropolitan Wayne Cou,253,John Wayne Airport-Orange Coun,0.1938
94,General Mitchell Intll,112,Detroit Metropolitan Wayne Cou,0.0242
112,Detroit Metropolitan Wayne Cou,307,Southwest Florida Intl,0.15
112,Detroit Metropolitan Wayne Cou,212,Norfolk Intl,0.0626
92,Syracuse Hancock Intl,112,Detroit Metropolitan Wayne Cou,0.0379
91,Greater Rochester Intl,112,Detroit Metropolitan Wayne Cou,0.0302
112,Detroit Metropolitan Wayne Cou,125,Theodore Francis Green State,0.0609
112,Detroit Metropolitan Wayne Cou,189,Louisville Intl,0.0405
112,Detroit Metropolitan Wayne Cou,305,Sarasota/Bradenton Intl,0.1417
112,Detroit Metropolitan Wayne Cou,202,Richmond Intll,0.0545
99,Kent County Intl,112,Detroit Metropolitan Wayne Cou,0.0128
112,Detroit Metropolitan Wayne Cou,157,Harrisburg Intll,0.0387
90,Dane County Regional-Truax Fie,112,Detroit Metropolitan Wayne Cou,0.0317
112,Detroit Metropolitan Wayne Cou,126,Michiana Rgnl Transportation C,0.0159
112,Detroit Metropolitan Wayne Cou,136,Westchester County,0.0503
112,Detroit Metropolitan Wayne Cou,137,Fort Wayne Intll,0.0151
71,Austin Straubel Intll,112,Detroit Metropolitan Wayne Cou,0.0326
100,Capital City,112,Detroit Metropolitan Wayne Cou,0.0083
84,Mbs Intll,112,Detroit Metropolitan Wayne Cou,0.0131
70,Cherry Capital,112,Detroit Metropolitan Wayne Cou,0.0267
118,Chicago O'hare Intl,313,Honolulu Intl,0.4076
248,Los Angeles Intl,313,Honolulu Intl,0.2347
201,San Francisco Intl,313,Honolulu Intl,0.2389
258,Phoenix Sky Harbor Intl,313,Honolulu Intl,0.2609
182,Lambert-St Louis Intl,313,Honolulu Intl,0.3823
67,Minneapolis-St Paul Intl/Wold-,313,Honolulu Intl,0.3992
219,Mc Carran Intl,313,Honolulu Intl,0.2595
47,Seattle-Tacoma Intl,313,Honolulu Intl,0.3086
263,San Diego Intl-Lindbergh Fld,313,Honolulu Intl,0.2344
246,Ontario Intl,313,Honolulu Intl,0.2387
313,Honolulu Intl,316,Kahului,0.0086
312,Lihue,313,Honolulu Intl,0.0096
313,Honolulu Intl,329,Guam Intll,0.3011
313,Honolulu Intl,318,Keahole-Kona Intll,0.0179
313,Honolulu Intl,319,Hilo Intll,0.0212
313,Honolulu Intl,314,Molokai,0.0045
313,Honolulu Intl,331,Pago Pago Intl,0.3468
313,Honolulu Intl,317,Lanai,0.0071
313,Honolulu Intl,326,Johnston Atoll,0.0736
313,Honolulu Intl,315,Kapalua,0.0072
182,Lambert-St Louis Intl,301,Tampa Intl,0.1105
182,Lambert-St Louis Intl,216,Tulsa Intl,0.0373
182,Lambert-St Louis Intl,274,Tucson Intl,0.1225
92,Syracuse Hancock Intl,182,Lambert-St Louis Intl,0.0837
182,Lambert-St Louis Intl,222,Mc Ghee Tyson,0.0429
106,Sioux Gateway,182,Lambert-St Louis Intl,0.0465
160,Quincy Muni Baldwin Field,182,Lambert-St Louis Intl,0.0122
182,Lambert-St Louis Intl,196,Forney Aaf,0.0133
67,Minneapolis-St Paul Intl/Wold-,118,Chicago O'hare Intl,0.0388
67,Minneapolis-St Paul Intl/Wold-,201,San Francisco Intl,0.1639
67,Minneapolis-St Paul Intl/Wold-,258,Phoenix Sky Harbor Intl,0.1454
67,Minneapolis-St Paul Intl/Wold-,182,Lambert-St Louis Intl,0.0604
67,Minneapolis-St Paul Intl/Wold-,152,Pittsburgh Intll,0.0783
67,Minneapolis-St Paul Intl/Wold-,162,Philadelphia Intl,0.1033
47,Seattle-Tacoma Intl,67,Minneapolis-St Paul Intl/Wold-,0.1502
67,Minneapolis-St Paul Intl/Wold-,144,Salt Lake City Intl,0.1033
67,Minneapolis-St Paul Intl/Wold-,263,San Diego Intl-Lindbergh Fld,0.1685
67,Minneapolis-St Paul Intl/Wold-,301,Tampa Intl,0.1705
67,Minneapolis-St Paul Intl/Wold-,292,New Orleans Intl/Moisant Fld/,0.1431
67,Minneapolis-St Paul Intl/Wold-,203,San Jose Intll,0.163
65,Portland Intl,67,Minneapolis-St Paul Intl/Wold-,0.1498
67,Minneapolis-St Paul Intl/Wold-,197,Metropolitan Oakland Intl,0.1629
67,Minneapolis-St Paul Intl/Wold-,246,Ontario Intl,0.1617
67,Minneapolis-St Paul Intl/Wold-,253,John Wayne Airport-Orange Coun,0.1651
67,Minneapolis-St Paul Intl/Wold-,183,Sacramento Metropolitan,0.1562
67,Minneapolis-St Paul Intl/Wold-,307,Southwest Florida Intl,0.1847
67,Minneapolis-St Paul Intl/Wold-,274,Tucson Intl,0.1518
67,Minneapolis-St Paul Intl/Wold-,189,Louisville Intl,0.0745
67,Minneapolis-St Paul Intl/Wold-,133,Eppley Airfield,0.0368
67,Minneapolis-St Paul Intl/Wold-,76,Rapid City Regional,0.0508
67,Minneapolis-St Paul Intl/Wold-,78,Rochester Intll,0.01
43,Grand Forks Afb,67,Minneapolis-St Paul Intl/Wold-,0.0364
118,Chicago O'hare Intl,219,Mc Carran Intl,0.1498
219,Mc Carran Intl,248,Los Angeles Intl,0.0263
201,San Francisco Intl,219,Mc Carran Intl,0.0395
219,Mc Carran Intl,258,Phoenix Sky Harbor Intl,0.0299
182,Lambert-St Louis Intl,219,Mc Carran Intl,0.1288
67,Minneapolis-St Paul Intl/Wold-,219,Mc Carran Intl,0.1399
219,Mc Carran Intl,299,Orlando Intl,0.1873
152,Pittsburgh Intll,219,Mc Carran Intl,0.1828
162,Philadelphia Intl,219,Mc Carran Intl,0.2065
47,Seattle-Tacoma Intl,219,Mc Carran Intl,0.1144
144,Salt Lake City Intl,219,Mc Carran Intl,0.0477
219,Mc Carran Intl,263,San Diego Intl-Lindbergh Fld,0.0336
219,Mc Carran Intl,301,Tampa Intl,0.1834
219,Mc Carran Intl,232,Memphis Intl,0.1286
123,Chicago Midway,219,Mc Carran Intl,0.1499
172,Kansas City Intl,219,Mc Carran Intl,0.1085
203,San Jose Intll,219,Mc Carran Intl,0.0366
65,Portland Intl,219,Mc Carran Intl,0.0984
197,Metropolitan Oakland Intl,219,Mc Carran Intl,0.0392
219,Mc Carran Intl,297,San Antonio Intl,0.1056
219,Mc Carran Intl,246,Ontario Intl,0.023
219,Mc Carran Intl,253,John Wayne Airport-Orange Coun,0.0268
94,General Mitchell Intll,219,Mc Carran Intl,0.1535
183,Sacramento Metropolitan,219,Mc Carran Intl,0.0412
169,Reno/Tahoe Intll,219,Mc Carran Intl,0.0402
219,Mc Carran Intl,274,Tucson Intl,0.0436
133,Eppley Airfield,219,Mc Carran Intl,0.1101
219,Mc Carran Intl,250,Palm Springs Regional,0.0227
118,Chicago O'hare Intl,299,Orlando Intl,0.1337
201,San Francisco Intl,299,Orlando Intl,0.2268
299,Orlando Intl,311,Miami Intl,0.0257
258,Phoenix Sky Harbor Intl,299,Orlando Intl,0.1635
182,Lambert-St Louis Intl,299,Orlando Intl,0.1088
67,Minneapolis-St Paul Intl/Wold-,299,Orlando Intl,0.1685
152,Pittsburgh Intll,299,Orlando Intl,0.1153
162,Philadelphia Intl,299,Orlando Intl,0.1136
144,Salt Lake City Intl,299,Orlando Intl,0.1958
299,Orlando Intl,301,Tampa Intl,0.0076
221,Raleigh-Durham Intll,299,Orlando Intl,0.0722
232,Memphis Intl,299,Orlando Intl,0.0771
299,Orlando Intl,321,Luis Munoz Marin Intl,0.1232
123,Chicago Midway,299,Orlando Intl,0.1317
292,New Orleans Intl/Moisant Fld/,299,Orlando Intl,0.048
299,Orlando Intl,306,Palm Beach Intl,0.0178
94,General Mitchell Intll,299,Orlando Intl,0.1427
299,Orlando Intl,307,Southwest Florida Intl,0.0182
92,Syracuse Hancock Intl,299,Orlando Intl,0.1427
125,Theodore Francis Green State,299,Orlando Intl,0.1366
299,Orlando Intl,305,Sarasota/Bradenton Intl,0.0118
299,Orlando Intl,322,Cyril E King,0.1274
273,Savannah Intll,299,Orlando Intl,0.0353
287,Tallahassee Regional,299,Orlando Intl,0.0244
286,Pensacola Regional,299,Orlando Intl,0.0357
152,Pittsburgh Intll,201,San Francisco Intl,0.2163
152,Pittsburgh Intll,182,Lambert-St Louis Intl,0.0542
47,Seattle-Tacoma Intl,152,Pittsburgh Intll,0.2244
152,Pittsburgh Intll,263,San Diego Intl-Lindbergh Fld,0.2023
152,Pittsburgh Intll,301,Tampa Intl,0.1202
152,Pittsburgh Intll,221,Raleigh-Durham Intll,0.0447
152,Pittsburgh Intll,297,San Antonio Intl,0.14
152,Pittsburgh Intll,183,Sacramento Metropolitan,0.2114
152,Pittsburgh Intll,307,Southwest Florida Intl,0.1335
92,Syracuse Hancock Intl,152,Pittsburgh Intll,0.0326
91,Greater Rochester Intl,152,Pittsburgh Intll,0.0283
125,Theodore Francis Green State,152,Pittsburgh Intll,0.0463
152,Pittsburgh Intll,189,Louisville Intl,0.0357
152,Pittsburgh Intll,305,Sarasota/Bradenton Intl,0.1257
152,Pittsburgh Intll,202,Richmond Intll,0.0321
152,Pittsburgh Intll,222,Mc Ghee Tyson,0.0486
80,Portland Intl Jetport,152,Pittsburgh Intll,0.0588
126,Michiana Rgnl Transportation C,152,Pittsburgh Intll,0.0331
127,Toledo Express,152,Pittsburgh Intll,0.021
152,Pittsburgh Intll,215,Tri-Cities Regional Tn/Va,0.04
129,Stewart Int'l,152,Pittsburgh Intll,0.0327
152,Pittsburgh Intll,156,Mercer County,0.0277
118,Chicago O'hare Intl,293,Houston Intercontinental,0.1207
248,Los Angeles Intl,293,Houston Intercontinental,0.1233
201,San Francisco Intl,293,Houston Intercontinental,0.1558
293,Houston Intercontinental,311,Miami Intl,0.0865
146,La Guardia,293,Houston Intercontinental,0.1503
258,Phoenix Sky Harbor Intl,293,Houston Intercontinental,0.0911
182,Lambert-St Louis Intl,293,Houston Intercontinental,0.0876
67,Minneapolis-St Paul Intl/Wold-,293,Houston Intercontinental,0.1428
219,Mc Carran Intl,293,Houston Intercontinental,0.1165
293,Houston Intercontinental,299,Orlando Intl,0.073
152,Pittsburgh Intll,293,Houston Intercontinental,0.1265
162,Philadelphia Intl,293,Houston Intercontinental,0.1393
47,Seattle-Tacoma Intl,293,Houston Intercontinental,0.216
144,Salt Lake City Intl,293,Houston Intercontinental,0.1335
263,San Diego Intl-Lindbergh Fld,293,Houston Intercontinental,0.1143
293,Houston Intercontinental,301,Tampa Intl,0.0681
293,Houston Intercontinental,296,William P Hobby,0.0032
172,Kansas City Intl,293,Houston Intercontinental,0.0891
292,New Orleans Intl/Moisant Fld/,293,Houston Intercontinental,0.0259
203,San Jose Intll,293,Houston Intercontinental,0.1527
65,Portland Intl,293,Houston Intercontinental,0.2037
167,Indianapolis Intl,293,Houston Intercontinental,0.1038
293,Houston Intercontinental,306,Palm Beach Intl,0.0838
293,Houston Intercontinental,297,San Antonio Intl,0.0165
246,Ontario Intl,293,Houston Intercontinental,0.1198
253,John Wayne Airport-Orange Coun,293,Houston Intercontinental,0.12
183,Sacramento Metropolitan,293,Houston Intercontinental,0.1575
293,Houston Intercontinental,307,Southwest Florida Intl,0.0766
225,Will Rogers World,293,Houston Intercontinental,0.053
216,Tulsa Intl,293,Houston Intercontinental,0.0595
284,Jacksonville Intl,293,Houston Intercontinental,0.0698
274,Tucson Intl,293,Houston Intercontinental,0.082
133,Eppley Airfield,293,Houston Intercontinental,0.1082
293,Houston Intercontinental,305,Sarasota/Bradenton Intl,0.0696
286,Pensacola Regional,293,Houston Intercontinental,0.0419
281,Mobile Regional,293,Houston Intercontinental,0.0368
293,Houston Intercontinental,309,Mc Allen Miller Intl,0.0393
290,Lafayette Regional,293,Houston Intercontinental,0.0172
142,Elko Muni-J.C. Harris Field,293,Houston Intercontinental,0.1469
162,Philadelphia Intl,201,San Francisco Intl,0.241
147,Newark Intl,162,Philadelphia Intl,0.0095
162,Philadelphia Intl,258,Phoenix Sky Harbor Intl,0.1971
162,Philadelphia Intl,182,Lambert-St Louis Intl,0.0777
152,Pittsburgh Intll,162,Philadelphia Intl,0.0261
144,Salt Lake City Intl,162,Philadelphia Intl,0.1873
162,Philadelphia Intl,301,Tampa Intl,0.1196
162,Philadelphia Intl,221,Raleigh-Durham Intll,0.0423
162,Philadelphia Intl,321,Luis Munoz Marin Intl,0.2101
162,Philadelphia Intl,307,Southwest Florida Intl,0.1317
92,Syracuse Hancock Intl,162,Philadelphia Intl,0.0312
91,Greater Rochester Intl,162,Philadelphia Intl,0.0334
125,Theodore Francis Green State,162,Philadelphia Intl,0.0263
162,Philadelphia Intl,305,Sarasota/Bradenton Intl,0.1249
162,Philadelphia Intl,202,Richmond Intll,0.025
80,Portland Intl Jetport,162,Philadelphia Intl,0.044
162,Philadelphia Intl,273,Savannah Intll,0.08
47,Seattle-Tacoma Intl,201,San Francisco Intl,0.0938
47,Seattle-Tacoma Intl,182,Lambert-St Louis Intl,0.1826
47,Seattle-Tacoma Intl,144,Salt Lake City Intl,0.0825
47,Seattle-Tacoma Intl,203,San Jose Intll,0.0963
47,Seattle-Tacoma Intl,253,John Wayne Airport-Orange Coun,0.1334
47,Seattle-Tacoma Intl,183,Sacramento Metropolitan,0.0836
47,Seattle-Tacoma Intl,56,Yakima Air Terminal,0.0122
47,Seattle-Tacoma Intl,74,Roberts Field,0.031
47,Seattle-Tacoma Intl,86,Friedman Memorial,0.0555
118,Chicago O'hare Intl,230,Charlotte/Douglas Intl,0.0737
230,Charlotte/Douglas Intl,261,Dallas/Fort Worth Intl,0.0849
230,Charlotte/Douglas Intl,248,Los Angeles Intl,0.1911
201,San Francisco Intl,230,Charlotte/Douglas Intl,0.2122
150,John F Kennedy Intl,230,Charlotte/Douglas Intl,0.0634
166,Stapleton Intl,230,Charlotte/Douglas Intl,0.1295
230,Charlotte/Douglas Intl,311,Miami Intl,0.0901
146,La Guardia,230,Charlotte/Douglas Intl,0.0642
147,Newark Intl,230,Charlotte/Douglas Intl,0.0627
230,Charlotte/Douglas Intl,258,Phoenix Sky Harbor Intl,0.1591
112,Detroit Metropolitan Wayne Cou,230,Charlotte/Douglas Intl,0.068
182,Lambert-St Louis Intl,230,Charlotte/Douglas Intl,0.0586
67,Minneapolis-St Paul Intl/Wold-,230,Charlotte/Douglas Intl,0.1115
219,Mc Carran Intl,230,Charlotte/Douglas Intl,0.1744
230,Charlotte/Douglas Intl,299,Orlando Intl,0.0648
152,Pittsburgh Intll,230,Charlotte/Douglas Intl,0.0505
230,Charlotte/Douglas Intl,293,Houston Intercontinental,0.0887
162,Philadelphia Intl,230,Charlotte/Douglas Intl,0.0532
47,Seattle-Tacoma Intl,230,Charlotte/Douglas Intl,0.2408
179,Washington National,230,Charlotte/Douglas Intl,0.0401
230,Charlotte/Douglas Intl,263,San Diego Intl-Lindbergh Fld,0.186
230,Charlotte/Douglas Intl,301,Tampa Intl,0.0697
177,Washington Dulles Intl,230,Charlotte/Douglas Intl,0.0398
221,Raleigh-Durham Intll,230,Charlotte/Douglas Intl,0.0127
176,Cincinnati/Northern Kentucky I,230,Charlotte/Douglas Intl,0.0412
230,Charlotte/Douglas Intl,310,Fort Lauderdale/Hollywood Intl,0.0875
230,Charlotte/Douglas Intl,232,Memphis Intl,0.046
230,Charlotte/Douglas Intl,321,Luis Munoz Marin Intl,0.1774
172,Kansas City Intl,230,Charlotte/Douglas Intl,0.0802
230,Charlotte/Douglas Intl,292,New Orleans Intl/Moisant Fld/,0.0688
167,Indianapolis Intl,230,Charlotte/Douglas Intl,0.0509
230,Charlotte/Douglas Intl,306,Palm Beach Intl,0.0816
230,Charlotte/Douglas Intl,297,San Antonio Intl,0.1044
94,General Mitchell Intll,230,Charlotte/Douglas Intl,0.0819
161,James M Cox Dayton Intl,230,Charlotte/Douglas Intl,0.0478
159,Port Columbus Intl,230,Charlotte/Douglas Intl,0.0468
230,Charlotte/Douglas Intl,307,Southwest Florida Intl,0.083
230,Charlotte/Douglas Intl,284,Jacksonville Intl,0.0453
212,Norfolk Intl,230,Charlotte/Douglas Intl,0.029
92,Syracuse Hancock Intl,230,Charlotte/Douglas Intl,0.0793
91,Greater Rochester Intl,230,Charlotte/Douglas Intl,0.0773
125,Theodore Francis Green State,230,Charlotte/Douglas Intl,0.0789
189,Louisville Intl,230,Charlotte/Douglas Intl,0.0374
230,Charlotte/Douglas Intl,305,Sarasota/Bradenton Intl,0.0751
230,Charlotte/Douglas Intl,239,Adams Field,0.0576
202,Richmond Intll,230,Charlotte/Douglas Intl,0.0287
218,Piedmont Triad Intll,230,Charlotte/Douglas Intl,0.0099
157,Harrisburg Intll,230,Charlotte/Douglas Intl,0.0521
230,Charlotte/Douglas Intl,237,Greenville-Spartanburg,0.0071
222,Mc Ghee Tyson,230,Charlotte/Douglas Intl,0.0165
143,Long Island Mac Arthur,230,Charlotte/Douglas Intl,0.0666
230,Charlotte/Douglas Intl,273,Savannah Intll,0.0295
230,Charlotte/Douglas Intl,298,Daytona Beach Intl,0.0577
230,Charlotte/Douglas Intl,240,Huntsville Intl-Carl T Jones F,0.0301
230,Charlotte/Douglas Intl,287,Tallahassee Regional,0.0491
230,Charlotte/Douglas Intl,286,Pensacola Regional,0.0553
230,Charlotte/Douglas Intl,281,Mobile Regional,0.0569
230,Charlotte/Douglas Intl,300,Melbourne Intll,0.068
204,Roanoke Regional/Woodrum Field,230,Charlotte/Douglas Intl,0.0208
230,Charlotte/Douglas Intl,252,Myrtle Beach Intl,0.0179
186,Yeager,230,Charlotte/Douglas Intl,0.0304
230,Charlotte/Douglas Intl,295,Gainesville Regional,0.0532
215,Tri-Cities Regional Tn/Va,230,Charlotte/Douglas Intl,0.0141
230,Charlotte/Douglas Intl,272,Dannelly Field,0.0393
230,Charlotte/Douglas Intl,235,Fayetteville Regional/Grannis,0.0108
230,Charlotte/Douglas Intl,243,New Hanover Intll,0.0179
230,Charlotte/Douglas Intl,238,Albert J Ellis,0.0174
227,Kinston Regional Jetport At St,230,Charlotte/Douglas Intl,0.017
118,Chicago O'hare Intl,179,Washington National,0.0628
179,Washington National,261,Dallas/Fort Worth Intl,0.1167
150,John F Kennedy Intl,179,Washington National,0.0238
179,Washington National,311,Miami Intl,0.1259
146,La Guardia,179,Washington National,0.0244
147,Newark Intl,179,Washington National,0.0229
112,Detroit Metropolitan Wayne Cou,179,Washington National,0.0454
179,Washington National,182,Lambert-St Louis Intl,0.0678
67,Minneapolis-St Paul Intl/Wold-,179,Washington National,0.1005
179,Washington National,299,Orlando Intl,0.1019
152,Pittsburgh Intll,179,Washington National,0.0225
179,Washington National,293,Houston Intercontinental,0.126
162,Philadelphia Intl,179,Washington National,0.0134
179,Washington National,301,Tampa Intl,0.1077
179,Washington National,221,Raleigh-Durham Intll,0.0299
179,Washington National,310,Fort Lauderdale/Hollywood Intl,0.1232
179,Washington National,232,Memphis Intl,0.0753
123,Chicago Midway,179,Washington National,0.0613
172,Kansas City Intl,179,Washington National,0.0901
179,Washington National,292,New Orleans Intl/Moisant Fld/,0.1082
167,Indianapolis Intl,179,Washington National,0.0478
179,Washington National,306,Palm Beach Intl,0.1173
94,General Mitchell Intll,179,Washington National,0.0677
179,Washington National,307,Southwest Florida Intl,0.1201
92,Syracuse Hancock Intl,179,Washington National,0.0409
91,Greater Rochester Intl,179,Washington National,0.0408
125,Theodore Francis Green State,179,Washington National,0.0396
179,Washington National,189,Louisville Intl,0.0448
179,Washington National,218,Piedmont Triad Intll,0.0302
144,Salt Lake City Intl,182,Lambert-St Louis Intl,0.1118
144,Salt Lake City Intl,253,John Wayne Airport-Orange Coun,0.0742
144,Salt Lake City Intl,183,Sacramento Metropolitan,0.0529
144,Salt Lake City Intl,216,Tulsa Intl,0.0929
144,Salt Lake City Intl,274,Tucson Intl,0.083
86,Friedman Memorial,144,Salt Lake City Intl,0.0286
104,Twin Falls-Sun Valley Regional,144,Salt Lake City Intl,0.0206
201,San Francisco Intl,263,San Diego Intl-Lindbergh Fld,0.0536
182,Lambert-St Louis Intl,263,San Diego Intl-Lindbergh Fld,0.1482
47,Seattle-Tacoma Intl,263,San Diego Intl-Lindbergh Fld,0.1429
144,Salt Lake City Intl,263,San Diego Intl-Lindbergh Fld,0.0813
203,San Jose Intll,263,San Diego Intl-Lindbergh Fld,0.0504
253,John Wayne Airport-Orange Coun,263,San Diego Intl-Lindbergh Fld,0.0097
183,Sacramento Metropolitan,263,San Diego Intl-Lindbergh Fld,0.0613
250,Palm Springs Regional,263,San Diego Intl-Lindbergh Fld,0.0109
118,Chicago O'hare Intl,174,Baltimore-Washington Intl,0.0632
174,Baltimore-Washington Intl,261,Dallas/Fort Worth Intl,0.1198
174,Baltimore-Washington Intl,248,Los Angeles Intl,0.2183
174,Baltimore-Washington Intl,201,San Francisco Intl,0.2332
150,John F Kennedy Intl,174,Baltimore-Washington Intl,0.0203
166,Stapleton Intl,174,Baltimore-Washington Intl,0.1438
174,Baltimore-Washington Intl,311,Miami Intl,0.1291
146,La Guardia,174,Baltimore-Washington Intl,0.0209
147,Newark Intl,174,Baltimore-Washington Intl,0.0193
174,Baltimore-Washington Intl,258,Phoenix Sky Harbor Intl,0.1882
112,Detroit Metropolitan Wayne Cou,174,Baltimore-Washington Intl,0.0448
174,Baltimore-Washington Intl,182,Lambert-St Louis Intl,0.0698
